state,fy,canal_total,tanks,tubewells,other_wells,other_sources,net_irrigated_000ha
Himachal Pradesh,2018-19,4,0,25,3,84,117
Jammu & Kashmir,2018-19,297,7,4,4,17,329
Jharkhand,2018-19,4,66,27,75,58,231
Karnataka,2018-19,1193,138,1815,321,565,4032
Kerala,2018-19,83,49,43,124,105,404
Madhya Pradesh,2018-19,1917,346,4318,3400,1368,11349
Maharashtra,2018-19,1047,,2098,,,3145
Manipur,2018-19,,,,,72,72
Meghalaya,2018-19,101,,,,,101
Mizoram,2018-19,16,,,,,16
Nagaland,2018-19,,,,,118,118
Odisha,2018-19,,,,,1092,1092
Puducherry,2018-19,4,,9,,0,13
Punjab,2018-19,1167,,2944,,,4111
Rajasthan,2018-19,2017,35,4034,2035,162,8283
Sikkim,2018-19,,,,,15,15
Tamil Nadu,2018-19,636,322,516,1087,5,2565
Telangana,2018-19,425,240,1045,402,98,2210
Tripura,2018-19,6,2,8,1,70,87
Uttar Pradesh,2018-19,2183,80,10743,1270,117,14392
Uttarakhand,2018-19,80,0,211,11,20,323
West Bengal,2018-19,,,,,3107,3107
India,2018-19,16429,1668,34708,11042,7707,71554
Andhra Pradesh,2019-20,1356,287,1082,37,117,2879
Assam,2019-20,105,8,88,52,172,425
Bihar,2019-20,956,55,1911,22,113,3059
Chhattisgarh,2019-20,878,28,552,16,54,1528
Delhi,2019-20,2,,18,0,1,22
Goa,2019-20,5,12,2,2,1,22
Gujarat,2019-20,1164,232,1900,1499,442,5238
Haryana,2019-20,1232,,2156,,,3387
Himachal Pradesh,2019-20,3,0,26,3,83,117
Jammu & Kashmir,2019-20,258,11,9,8,23,308
Jharkhand,2019-20,4,73,24,82,67,249
Karnataka,2019-20,1262,138,1863,322,650,4235
Kerala,2019-20,86,50,50,119,105,410
Madhya Pradesh,2019-20,2285,430,4685,3622,1495,12517
Maharashtra,2019-20,1041,,2086,,,3128
Manipur,2019-20,,,,,54,54
Meghalaya,2019-20,105,,,,,105
Mizoram,2019-20,16,,,,,16
Nagaland,2019-20,,,,,120,120
Odisha,2019-20,,,,,1137,1137
Puducherry,2019-20,4,,9,,0,13
Punjab,2019-20,1179,,2948,,,4127
