fy_start,beta_iv,se,pvalue,n
2019,-0.0062668857036750165,0.0027713989762655263,0.02374244583174341,20
2020,-0.005982597248445995,0.00246050025048725,0.015038289054795328,20
2021,-0.007103892248631234,0.0030420717973982042,0.01953218237532495,20
2022,-0.00440093315549444,0.0019846693275157572,0.026591387758780474,20
2023,-0.004025823490719348,0.0018361736464422873,0.028342921439459923,20
2024,-0.00397913499909137,0.0017959033631235984,0.026713889803622815,20
