e_kWh_per_m3_m,lift_base_m,rebound_total_tco2,rebound_signed_total_tco2
0.0035,15,184042.02202911454,184042.02202911454
0.0035,20,245333.15759564805,245333.15759564805
0.0035,30,355897.67263880174,355897.67263880174
0.004,15,210333.73946184517,210333.73946184517
0.004,20,280380.75153788354,280380.75153788354
0.004,30,406740.1973014877,406740.1973014877
0.0045,15,236625.45689457576,236625.45689457576
0.0045,20,315428.345480119,315428.345480119
0.0045,30,457582.7219641736,457582.7219641736
