fuel_litres_displaced,e_kWh_per_m3_m,lift_base_m,ef_grid,gross_Mt,rebound_Mt,net_Mt,offset_pct,is_central
400,0.0035,15.0,0.71,1.3633963064917785,0.1769874517684834,1.186408854723295,12.98136506060358,0
400,0.0035,20.0,0.71,1.3633963064917785,0.23592921832982544,1.127467088161953,17.304522331948107,0
400,0.0035,30.0,0.71,1.3633963064917785,0.3422556515963013,1.0211406548954773,25.10316699309359,0
400,0.004,15.0,0.71,1.3633963064917785,0.20227137344969537,1.1611249330420832,14.83584578354695,0
400,0.004,20.0,0.71,1.3633963064917785,0.2696333923769434,1.0937629141148353,19.776596950797835,0
400,0.004,30.0,0.71,1.3633963064917785,0.3911493161100586,0.9722469903817199,28.689333706392674,0
400,0.0045,15.0,0.71,1.3633963064917785,0.22755529513090722,1.1358410113608712,16.690326506490315,0
400,0.0045,20.0,0.71,1.3633963064917785,0.3033375664240613,1.060058740067717,22.248671569647566,0
400,0.0045,30.0,0.71,1.3633963064917785,0.44004298062381586,0.9233533258679626,32.27550041969176,0
400,0.0035,15.0,0.7383,1.3736414544327067,0.18404202202911452,1.1895994324035921,13.398112108164435,0
400,0.0035,20.0,0.7383,1.3736414544327067,0.24533315759564805,1.1283082968370586,17.8600577904783,0
400,0.0035,30.0,0.7383,1.3736414544327067,0.35589767263880173,1.0177437817939048,25.909066116949866,0
400,0.004,15.0,0.7383,1.3736414544327067,0.2103337394618452,1.1633077149708613,15.3121281236165,0
400,0.004,20.0,0.7383,1.3736414544327067,0.28038075153788355,1.0932607028948231,20.411494617689492,0
400,0.004,30.0,0.7383,1.3736414544327067,0.4067401973014877,0.9669012571312189,29.610361276514134,0
400,0.0045,15.0,0.7383,1.3736414544327067,0.23662545689457576,1.1370159975381307,17.226144139068555,0
400,0.0045,20.0,0.7383,1.3736414544327067,0.315428345480119,1.0582131089525875,22.96293144490068,0
400,0.0045,30.0,0.7383,1.3736414544327067,0.4575827219641736,0.916058732468533,33.3116564360784,0
400,0.0035,15.0,0.79,1.3923578554413987,0.1969296998550731,1.1954281555863255,14.143612512075311,0
400,0.0035,20.0,0.79,1.3923578554413987,0.2625127922261438,1.1298450632152548,18.853830658564657,0
400,0.0035,30.0,0.79,1.3923578554413987,0.3808196686775747,1.011538186763824,27.35070349833657,0
400,0.004,15.0,0.79,1.3923578554413987,0.22506251412008363,1.1672953413213152,16.16412858522893,0
400,0.004,20.0,0.79,1.3923578554413987,0.3000146196870216,1.0923432357543772,21.547235038359617,0
400,0.004,30.0,0.79,1.3923578554413987,0.4352224784886568,0.9571353769527419,31.257946855241798,0
400,0.0045,15.0,0.79,1.3923578554413987,0.25319532838509395,1.1391625270563048,18.18464465838254,0
400,0.0045,20.0,0.79,1.3923578554413987,0.3375164471478993,1.0548414082934994,24.240639418154565,0
400,0.0045,30.0,0.79,1.3923578554413987,0.48962528829973884,0.9027325671416598,35.16519021214702,0
600,0.0035,15.0,0.71,1.916577586273728,0.1769874517684834,1.7395901345052445,9.234557110343136,0
600,0.0035,20.0,0.71,1.916577586273728,0.23592921832982544,1.6806483679439026,12.309922646467271,0
600,0.0035,30.0,0.71,1.916577586273728,0.3422556515963013,1.5743219346774266,17.857646569984457,0
600,0.004,15.0,0.71,1.916577586273728,0.20227137344969537,1.7143062128240327,10.553779554677872,0
600,0.004,20.0,0.71,1.916577586273728,0.2696333923769434,1.6469441938967844,14.068483024534025,0
600,0.004,30.0,0.71,1.916577586273728,0.3911493161100586,1.5254282701636692,20.408738937125094,0
600,0.0045,15.0,0.71,1.916577586273728,0.22755529513090722,1.6890222911428208,11.873001999012603,0
600,0.0045,20.0,0.71,1.916577586273728,0.3033375664240613,1.6132400198496666,15.82704340260078,0
