variable,count,mean,std,min,25%,50%,75%,max
fy_start,396.0,2019.0,3.1662780130140504,2014.0,2016.0,2019.0,2022.0,2024.0
kusum_cum_pumps,186.0,5764.940860215053,22433.49367540924,0.0,0.0,17.37333189721068,1194.945903402221,207638.37642697318
kusum_cum_B,186.0,5615.252688172043,22036.28936266054,0.0,0.0,15.59461238342012,1072.2892622840677,198412.01469890494
kusum_cum_C,186.0,149.68817204301078,791.0996957770074,0.0,0.0,0.0,0.0,6965.514924437356
kusum_share_pool,186.0,0.032258064516129024,0.09338114554821537,0.0,0.0,0.0006664072380581768,0.01642808499993051,0.5052040915597682
kusum_share_B,186.0,0.03225806451612904,0.09462335422990072,0.0,0.0,0.0006861312306245221,0.008710418135744583,0.49922884557528596
kusum_share_C,186.0,0.032258064516129024,0.10436137492536364,0.0,0.0,0.0,0.0011703474092688172,0.51360528863275
kusum_dose_terminal,186.0,46421.290322580644,134381.0713126148,0.0,0.0,959.0,23641.0,727019.0
kusum_dose_B_terminal,186.0,27127.322580645163,79573.2258695723,0.0,0.0,577.0,7325.0,419825.0
kusum_dose_C_terminal,186.0,19293.967741935485,62419.89504073402,0.0,0.0,0.0,700.0,307194.0
net_irr_kha_latest,168.0,2939.0714285714284,3740.892201324876,12.0,116.0,1401.0,3845.0,13656.0
kusum_intensity_per_kha,168.0,2.4243221265322044,6.678520218713118,0.0,0.0,0.19195268424291698,1.2484638947780877,50.890330423677604
kusum_intensity_B_per_kha,168.0,3.002629244639902,10.030688431111196,0.0,0.0,0.14044046749415867,1.124240559031868,84.21182467100547
kusum_intensity_C_per_kha,168.0,0.038913679773096094,0.15099549889047773,0.0,0.0,0.0,0.0,1.0722775437865388
kusum_dose_per_kha,168.0,19.521477149552123,38.9912220273933,0.0,0.4144664423020531,4.001687753951957,17.376214974230056,178.1859296482412
kusum_log1p_pumps,186.0,3.779257514764716,3.791808258400584,0.0,0.0,2.910747534009097,7.086691905140008,12.24355808679166
agri_grid_gwh,210.0,6023.0158095238085,9201.708090542981,0.0,4.949999999999999,261.68,12269.98,36253.2
total_elec_gwh,210.0,29243.84466666666,33553.82432016337,47.59,1276.2225,18213.485,50870.985,141170.12
tubewells,229.0,1545.816593886463,2322.9556021096396,0.0,25.0,572.0,2070.0,10743.0
other_wells,192.0,572.0572916666666,919.0657741554954,0.0,4.75,52.5,1103.0,3622.0
canal_total,252.0,674.5952380952381,711.8666352845996,0.0,16.0,462.5,1153.25,2482.0
net_irrigated_000ha,300.0,2458.286666666667,3468.768513631231,12.0,99.25,719.5,3164.5,14392.0
gw_stage_step,396.0,49.54525252525252,41.26484067902339,0.36,16.5775,46.34,68.5375,165.99
gw_stage_linear,396.0,49.660252525252524,41.31880402446347,0.36,16.5775,46.57,68.5375,165.99
gw_interpolated,396.0,0.6363636363636364,0.48165422661501733,0.0,0.0,1.0,1.0,1.0
gsdp_cr,354.0,434058.81920903956,481111.03065687226,4742.0,29938.0,291011.0,628197.0,2612263.0
td_loss_pct,315.0,22.655396825396824,9.90529450932936,2.2,15.9,20.8,27.55,53.1
discom_health_td,315.0,0.7734460317460317,0.09905294509329361,0.469,0.7244999999999999,0.792,0.841,0.978
discom_health,294.0,0.7767913265306122,0.12201066534792714,0.30989999999999995,0.712575,0.808,0.861875,0.9683
rpo_target_pct,294.0,20.084115646258503,5.600710925152839,11.5,17.0,19.0,24.61,29.91
rpo_compliance_score,31.0,0.5870967741935484,0.6784886777909029,0.010526315789473684,0.24736842105263157,0.4263157894736842,0.6052631578947368,3.5526315789473686
ghi_annual,282.0,4.861717878250591,0.28021776629589373,4.1507,4.6444,4.8316638888888885,5.08985,5.5324333333333335
log_gdp,288.0,16.757796873045052,1.6209966756571177,13.37924340010255,14.928726550645168,17.32265397158664,18.015584386182987,19.38089767770583
log_gdp_pc,288.0,0.19927773511455815,0.5498793817060851,-1.271044824063317,-0.21618504732280286,0.30270235774677623,0.5547341878092915,1.401645422796065
population,288.0,42164351.97172728,49279380.45417136,394999.3817067641,3237976.3834979283,30520520.958622858,67197849.52111147,239472636.18503305
diesel_pumps_2016_17,297.0,412688.8888888889,705701.9494545583,100.0,16000.0,226700.0,495500.0,3607600.0
standalone_solar_pumps_installed,297.0,17290.666666666668,29500.132542876774,21.0,332.0,2813.0,25047.0,119282.0
ghi_annual_obs,220.0,5.056500000000001,0.30296860756347316,4.5,4.8374999999999995,5.0,5.2275,5.72
rpo_compliance,363.0,57.234848484848484,65.46795042025036,1.1,24.2,42.6,61.6,355.3
foodgrain_prod_lakh_t_2024,385.0,102.20942857142859,143.8636159110633,0.03,1.06,18.45,184.69,638.48
cropped_area_lakh_ha_2024,385.0,39.29828571428571,54.11715172286175,0.01,0.43,8.9,59.19,213.79
pumpsets_total_31Mar2023,385.0,776098.8,1158016.9592951078,0.0,584.0,47180.0,1451816.0,4476130.0
kusum_treated,396.0,0.2904040404040404,0.4545230783394034,0.0,0.0,0.0,1.0,1.0
