fuel_litres,ef_grid,gross_abatement_tco2
400,0.71,1363396.3064917785
400,0.7383,1373641.4544327066
400,0.79,1392357.8554413987
600,0.71,1916577.586273728
600,0.7383,1926822.7342146558
600,0.79,1945539.135223348
800,0.71,2469758.866055677
800,0.7383,2480004.0139966053
800,0.79,2498720.4150052974
