rel,coef,se
-3,-73.91921447650427,126.47733809917601
-2,-32.197014030183034,53.08418452681983
0,-65.29259175840319,65.90232617992702
1,-13.228519895597975,218.95164874012457
2,-30.484952973729538,327.6966442824669
3,-533.7454177719637,475.85950861322596
