gw_stress_cat,subst,reb,net,offset_share,o
safe,507452.1558600593,57374.13087972935,450078.02498032997,0.1130631335726387,0
semi_critical,36521.878905253405,5550.129720126979,30971.749185126428,0.15196725597073904,1
over_exploited,160592.96111100548,49568.5437124857,111024.41739851978,0.3086595039381757,3
